period,periodOrder,region,shortName,locationName,latitude,longitude,sampleCount,meanChlorophyllA,meanSuspendedSolids,meanSalinity,meanSecchiDepthM,wetSeasonMeanSS,wetSeasonMeanSalinity,wetSeasonMeanChl,drySeasonMeanSS,drySeasonMeanSalinity,drySeasonMeanChl
2024-2025,2,Wet Tropics region,TUL10,Tully Mouth,-18.0227683,146.0746783,25,0.78,5.54,28.73,3.25,6.4,26.48,0.93,3.11,33.51,0.48
2024-2025,2,Wet Tropics region,TUL11,Tully River,-18.0198167,146.0447833,1,0.21,12.12,0.04,0.8,12.12,0.04,0.21,,,
2024-2025,2,Wet Tropics region,TUL2,Clump Point East,-17.8899033,146.26079,20,0.32,1.16,33.75,9.57,1.24,33.26,0.37,0.87,35.2,0.18
2024-2025,2,Wet Tropics region,TUL3,Dunk Island North,-17.9260883,146.143345,25,0.55,2.73,32.38,5.8,3.04,31.25,0.68,1.87,34.77,0.28
2024-2025,2,Wet Tropics region,TUL4,South Mission Beach,-17.9310617,146.1041033,2,1.73,1.73,22.1,2,1.73,22.1,1.73,,,
2024-2025,2,Wet Tropics region,TUL5,Dunk Island South East,-17.9604367,146.1986067,20,0.47,2.6,32.74,7.3,2.9,32.02,0.54,1.48,34.89,0.27
2024-2025,2,Wet Tropics region,TUL6,Between Tam O'Shanter and Timana,-17.9737833,146.11671,20,0.69,3.31,30.49,4.22,3.84,29.36,0.82,1.32,33.89,0.32
2024-2025,2,Wet Tropics region,TUL7,Hull River mouth,-17.9968083,146.0789367,2,1.99,37.92,15.73,1.25,37.92,15.73,1.99,,,
2024-2025,2,Wet Tropics region,TUL8,Bedarra,-18.014595,146.1335217,20,0.55,3.6,30.6,5.3,4.3,29.48,0.66,0.97,33.96,0.23
2024-2025,2,Wet Tropics region,TUL9,Triplets,-18.05569,146.1874933,1,0.26,1.18,33.33,4,1.18,33.33,0.26,,,
